Month,#Passengers,Year,Abs_Diff,Rel_Diff
1949-01-01,112,1949,,
1949-02-01,118,1949,6.0,5.35714285714286
1949-03-01,132,1949,14.0,11.864406779661007
1949-04-01,129,1949,-3.0,-2.2727272727272707
1949-05-01,121,1949,-8.0,-6.2015503875969
1949-06-01,135,1949,14.0,11.570247933884303
1949-07-01,148,1949,13.0,9.629629629629633
1949-08-01,148,1949,0.0,0.0
1949-09-01,136,1949,-12.0,-8.108108108108103
1949-10-01,119,1949,-17.0,-12.5
1949-11-01,104,1949,-15.0,-12.605042016806722
1949-12-01,118,1949,14.0,13.461538461538458
1950-01-01,115,1950,-3.0,-2.5423728813559365
1950-02-01,126,1950,11.0,9.565217391304337
1950-03-01,141,1950,15.0,11.904761904761907
1950-04-01,135,1950,-6.0,-4.255319148936165
1950-05-01,125,1950,-10.0,-7.4074074074074066
1950-06-01,149,1950,24.0,19.199999999999996
1950-07-01,170,1950,21.0,14.093959731543615
1950-08-01,170,1950,0.0,0.0
1950-09-01,158,1950,-12.0,-7.058823529411762
1950-10-01,133,1950,-25.0,-15.822784810126578
1950-11-01,114,1950,-19.0,-14.28571428571429
1950-12-01,140,1950,26.0,22.807017543859654
1951-01-01,145,1951,5.0,3.571428571428581
1951-02-01,150,1951,5.0,3.4482758620689724
1951-03-01,178,1951,28.0,18.666666666666675
1951-04-01,163,1951,-15.0,-8.42696629213483
1951-05-01,172,1951,9.0,5.521472392638027
1951-06-01,178,1951,6.0,3.488372093023262
1951-07-01,199,1951,21.0,11.79775280898876
1951-08-01,199,1951,0.0,0.0
1951-09-01,184,1951,-15.0,-7.537688442211055
1951-10-01,162,1951,-22.0,-11.956521739130432
1951-11-01,146,1951,-16.0,-9.876543209876543
1951-12-01,166,1951,20.0,13.698630136986312
1952-01-01,171,1952,5.0,3.0120481927710774
1952-02-01,180,1952,9.0,5.263157894736836
1952-03-01,193,1952,13.0,7.222222222222219
1952-04-01,181,1952,-12.0,-6.217616580310881
1952-05-01,183,1952,2.0,1.104972375690605
1952-06-01,218,1952,35.0,19.12568306010929
1952-07-01,230,1952,12.0,5.504587155963292
1952-08-01,242,1952,12.0,5.217391304347818
1952-09-01,209,1952,-33.0,-13.636363636363635
1952-10-01,191,1952,-18.0,-8.61244019138756
1952-11-01,172,1952,-19.0,-9.947643979057597
1952-12-01,194,1952,22.0,12.790697674418606
1953-01-01,196,1953,2.0,1.0309278350515427
1953-02-01,196,1953,0.0,0.0
1953-03-01,236,1953,40.0,20.408163265306122
1953-04-01,235,1953,-1.0,-0.4237288135593209
1953-05-01,229,1953,-6.0,-2.553191489361706
1953-06-01,243,1953,14.0,6.113537117903922
1953-07-01,264,1953,21.0,8.64197530864197
1953-08-01,272,1953,8.0,3.0303030303030276
1953-09-01,237,1953,-35.0,-12.867647058823529
1953-10-01,211,1953,-26.0,-10.970464135021096
1953-11-01,180,1953,-31.0,-14.691943127962082
1953-12-01,201,1953,21.0,11.66666666666667
1954-01-01,204,1954,3.0,1.4925373134328401
1954-02-01,188,1954,-16.0,-7.843137254901967
1954-03-01,235,1954,47.0,25.0
1954-04-01,227,1954,-8.0,-3.404255319148941
1954-05-01,234,1954,7.0,3.083700440528636
1954-06-01,264,1954,30.0,12.82051282051282
1954-07-01,302,1954,38.0,14.393939393939403
1954-08-01,293,1954,-9.0,-2.98013245033113
1954-09-01,259,1954,-34.0,-11.604095563139927
1954-10-01,229,1954,-30.0,-11.583011583011583
1954-11-01,203,1954,-26.0,-11.353711790393017
1954-12-01,229,1954,26.0,12.807881773399021
1955-01-01,242,1955,13.0,5.676855895196509
1955-02-01,233,1955,-9.0,-3.7190082644628086
1955-03-01,267,1955,34.0,14.592274678111593
1955-04-01,269,1955,2.0,0.7490636704119868
1955-05-01,270,1955,1.0,0.3717472118959009
1955-06-01,315,1955,45.0,16.666666666666675
1955-07-01,364,1955,49.0,15.555555555555545
1955-08-01,347,1955,-17.0,-4.670329670329664
1955-09-01,312,1955,-35.0,-10.086455331412104
1955-10-01,274,1955,-38.0,-12.17948717948718
1955-11-01,237,1955,-37.0,-13.503649635036496
1955-12-01,278,1955,41.0,17.29957805907174
1956-01-01,284,1956,6.0,2.158273381294973
1956-02-01,277,1956,-7.0,-2.464788732394363
1956-03-01,317,1956,40.0,14.440433212996396
1956-04-01,313,1956,-4.0,-1.2618296529968487
1956-05-01,318,1956,5.0,1.5974440894568787
1956-06-01,374,1956,56.0,17.610062893081757
1956-07-01,413,1956,39.0,10.427807486631014
1956-08-01,405,1956,-8.0,-1.937046004842613
1956-09-01,355,1956,-50.0,-12.345679012345679
1956-10-01,306,1956,-49.0,-13.802816901408455
1956-11-01,271,1956,-35.0,-11.43790849673203
1956-12-01,306,1956,35.0,12.915129151291517
1957-01-01,315,1957,9.0,2.941176470588225
1957-02-01,301,1957,-14.0,-4.444444444444439
1957-03-01,356,1957,55.0,18.272425249169434
1957-04-01,348,1957,-8.0,-2.2471910112359605
1957-05-01,355,1957,7.0,2.011494252873569
1957-06-01,422,1957,67.0,18.873239436619716
1957-07-01,465,1957,43.0,10.18957345971565
1957-08-01,467,1957,2.0,0.43010752688172893
1957-09-01,404,1957,-63.0,-13.490364025695934
1957-10-01,347,1957,-57.0,-14.10891089108911
1957-11-01,305,1957,-42.0,-12.103746397694525
1957-12-01,336,1957,31.0,10.163934426229515
1958-01-01,340,1958,4.0,1.1904761904761862
1958-02-01,318,1958,-22.0,-6.470588235294117
1958-03-01,362,1958,44.0,13.83647798742138
1958-04-01,348,1958,-14.0,-3.8674033149171283
1958-05-01,363,1958,15.0,4.31034482758621
1958-06-01,435,1958,72.0,19.834710743801654
1958-07-01,491,1958,56.0,12.873563218390816
1958-08-01,505,1958,14.0,2.851323828920571
1958-09-01,404,1958,-101.0,-19.999999999999996
1958-10-01,359,1958,-45.0,-11.138613861386137
1958-11-01,310,1958,-49.0,-13.649025069637888
1958-12-01,337,1958,27.0,8.709677419354843
1959-01-01,360,1959,23.0,6.824925816023741
1959-02-01,342,1959,-18.0,-5.000000000000004
1959-03-01,406,1959,64.0,18.71345029239766
1959-04-01,396,1959,-10.0,-2.463054187192115
1959-05-01,420,1959,24.0,6.060606060606055
1959-06-01,472,1959,52.0,12.380952380952381
1959-07-01,548,1959,76.0,16.10169491525424
1959-08-01,559,1959,11.0,2.007299270072993
1959-09-01,463,1959,-96.0,-17.17352415026834
1959-10-01,407,1959,-56.0,-12.095032397408211
1959-11-01,362,1959,-45.0,-11.056511056511054
1959-12-01,405,1959,43.0,11.878453038674031
1960-01-01,417,1960,12.0,2.9629629629629672
1960-02-01,391,1960,-26.0,-6.235011990407669
1960-03-01,419,1960,28.0,7.161125319693085
1960-04-01,461,1960,42.0,10.023866348448696
1960-05-01,472,1960,11.0,2.386117136659438
1960-06-01,535,1960,63.0,13.347457627118642
1960-07-01,622,1960,87.0,16.26168224299065
1960-08-01,606,1960,-16.0,-2.5723472668810254
1960-09-01,508,1960,-98.0,-16.171617161716167
1960-10-01,461,1960,-47.0,-9.251968503937002
1960-11-01,390,1960,-71.0,-15.401301518438181
1960-12-01,432,1960,42.0,10.769230769230775
